Character,Pinyin
认识, rènshi: to know (somebody)
高兴, gāoxìng: happy; pleased
可以, kěyĭ: may
进来, jìnlai: come in
请, qǐng: please
您, nín: you(polite form)
朋友, péngyou: friend
记者, jìzhě: reporter
请问, qǐng wèn: May I ask...?
贵姓, guìxìng: honorable surname?
叫, jiào: to be called
先生, xiānsheng: Mr.; sir
杨, yáng: a surname
语言, yǔyán: language
学院, xuéyuàn: institute; college
的, de: possessive particle
学生, xuésheng: student
什么, shénme: what
学习, xuéxí: to learn; to study
汉语, Hànyǔ: Chinese (language)
英国, Yīngguó: Great Britain; England
马大为, Mǎ Dàwéi: name
加拿大, Jiānádà: Canada
美国, Měiguó: USA
