Character,Pinyin
会, huì to know how to
司机, sījī driver
(一)点儿, (yì) diǎnr a bit
点(钟), diǎn (zhōng) o’clock
差, chà lack
刻, kè quarter(of an hour)
回, huí to return
上课, shàng kè go to class
能, néng can
到, dào to arrive
哪里, nǎli no
教, jiāo to teach
英语, yīngyǔ English
孙女儿, sūnnǚr son's daughter
岁数, suìshu years (of age)
还, hái in addition
分(钟), fēn(zhōng) minute
拜拜, báibái bye-bye
为什么, wèishénme why
昨天, zuótiān yesterday
东西, dōngxi things
玩儿, wánr to have fun
晚上, wǎnshang evening
半, bàn half
写, xiě to write
睡觉, shuìjiào to sleep
起床, qǐchuáng to get up
应该, yīnggāi should
问题, wèntí question
可以, kěyǐ may
陈, Chén surname
