Character,Pinyin
姑娘, gūniang girl
听说, tīngshuō to be told
得, dé to get
告诉, gàosu to tell
件, jiàn piece
事儿, shìr matter
散步, sàn bù to take a walk
电影, diànyǐng movie
咖啡, kāfēi coffee
可是, kěshì but
宿舍, sùshè dormitory
找, zhǎo to look for
房子, fángzi house
租, zū to rent
套, tào measure word
厨房, chúfáng kitchen
厕所, cèsuǒ toilet
房租, fángzū rent
公司, gōngsī company
办, bàn to do
打电话, dǎ diànhuà
让, ràng to let
帮助, bāngzhù to help
喂, wèi hello (phone)
位, wèi measure word
间, jiān measure word
卧室, wòshì bedroom
客厅, kètīng living room
经理, jīnglǐ manager
可能, kěnéng maybe
吃饭, chīfàn to eat
等, děng to wait
家美, Jiāměi
