Character,Pinyin
全身, quánshēn all over (the body)
舒服, shūfu comfortable
每, měi every; each
锻炼, duànliàn work out
头, tóu head
疼, téng painful
嗓子, sǎngzi throat
想, xiǎng to think
医院, yīyuàn hospital
看病, kàn bìng to see a doctor
身体, shēntǐ body
要, yào must
吧, ba modal particle
还是, háishi or
一起, yìqǐ together
冷, lěng cold
穿, chuān to wear
衣服, yīfu clothes
戴, dài to wear
休息, xiūxi to take a rest
给, gěi to; for
挂号, guà hào to register
有点儿, yǒudiǎnr somewhat
发炎, fā yán inflamed
发烧, fā shāo fever
感冒, gǎnmào to be sick
住院, zhù yuàn hospitalized
水, shuǐ water
药, yào medicine
愿意, yuànyì to be willing
中药, zhōngyào Chinese medicine
西药, xīyào Western medicine
