Character,Pinyin
家, jiā family
几, jǐ how many
口, kǒu measure word for people
照片, zhàopiàn picture
和, hé and
个, gè general measure word
姐姐, jiějie elder sister
两, liǎng two
弟弟, dìdi younger brother
还, hái in addition
一共, yígòng altogether
妹妹, mèimei younger sister
小, xiǎo little
狗, gǒu dog
张, zhāng measure word for paper
当然, dāngrán of course
真, zhēn real
可爱, kě’ài cute
没, méi not
男, nán male
做, zuò to do
工作, gōngzuò to work
王小云, Wáng Xiǎoyún name
贝贝, Bèibei name
大, dà big
多少, duōshao how many
喜欢, xǐhuan to like
外语, wàiyǔ foreign language
外国, wàiguó foreign country
百, bǎi hundred
