Character,Pinyin
餐厅, cāntīng dining room
在, zài to be (here; there)
哪儿, nǎr where
请问, qǐng wèn May I ask...?
这, zhè: this
宿舍, sùshè dormitory
女, nǚ female
学生, xuésheng student
进, jìn to enter
坐, zuò to sit
谢谢, xièxie to thank
对不起, duìbuqǐ I’m sorry.
我, wǒ I; me
没关系, méiguānxi never mind
好, hǎo good; well; fine; O.K.
再见, zàijiàn good-bye
王小云, Wáng Xiǎoyún name
层, céng story; floor
0/零, líng zero
四, sì four
号, hào ordinal number
不用, búyòng need not
这儿, zhèr here
晚, wǎn late
了, le modal partical
宋华, Sòng Huá name
