Character,Pinyin
去, qù to go
游泳, yóuyǒng to swim
昨天, zuótiān yesterday
京剧, jīngjù Beijing opera
怎么样, zěnmeyàng how is it?
有意思, yǒu yìsi interesting
今天, jīntiān today
天气, tiānqì weather
太, tài too; extremely
什么, shénme what
时候, shíhou time; moment
现在, xiànzài now
明天, míngtiān tomorrow
有, yǒu to have
时间, shíjiān time
说, shuō to say; to speak
遍, biàn number of times
打球, dǎ qiú to play ball
抱歉, bàoqiàn to feel sorry
忙, máng busy
恐怕, kǒngpà perhaps
行, xíng to be O.K
谢谢, xièxie to thank
你们, nǐmen you(pl.)
