Character,Pinyin
在, zài at
光盘, guāngpán CD
音乐, yīnyuè music
商场, shāngchǎng market
常常, chángcháng often
跟, gēn with / follow
有名, yǒumíng famous
书, shū book
报, bào newspaper
本子, běnzi notebook
那儿, nàr there
梁祝, Liáng Zhù name
先生, xiānsheng Mr.
要, yào to want
师傅, shīfu master worker
香蕉苹果, xiāngjiāo píngguǒ apple banana
对不起, duìbuqǐ I’m sorry
怎么, zěnme how
容易, róngyì easy
葡萄, pútao grape
钱, qián money
斤, jīn 500g
块(钱), kuài (qián) dollar
毛(钱), máo (qián) dime
分(钱), fēn (qián) penny
贵, guì expensive
做, zuò to be
送, sòng to give
给, gěi to give
找(钱), zhǎo (qián) give change
